RepeFonct,ElemSys,LibOccur,LineRev,ComponentKind,Contrat,Type,Manufact,ActuKind,ActuRef,PSU_ECS1,PSU_Volt1,CompartAlloc,t_CloseReq,ValvFailSfPositn,SGApp
-DCL5251RA-,-DCL,BAL DMPR HLC2602ZL,I.4,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5253RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5254RA-,-DCL,BAL DMPR HLC2644ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5258RA-,-DCL,BAL DMPR HLB2602ZL,I.4,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5259RA-,-DCL,BAL DMPR HLB2605ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5260RA-,-DCL,BAL DMPR HLB2602ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5261RA-,-DCL,BAL DMPR SUPPLY DCL HLB ROOMS,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5262RA-,-DCL,BAL DMPR HLB2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5265RA-,-DCL,BAL DMPR HLC2606ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5266RA-,-DCL,BAL DMPR HLC2630ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5267RA-,-DCL,BAL DMPR HLC2632ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5268RA-,-DCL,BAL DMPR HLC2633ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5269RA-,-DCL,BAL DMPR HLC2632ZL,I.4,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5271RA-,-DCL,BAL DMPR HLC2609ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5272RA-,-DCL,BAL DMPR HLC2609ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5273RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5274RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5277RA-,-DCL,BAL DMPR HLB2633ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5279RA-,-DCL,BAL DMPR HLC2609ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5280RA-,-DCL,BAL DMPR HLC2608ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5282RA-,-DCL,BAL DMPR HLC2644ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5283RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5284RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5285RA-,-DCL,BAL DMPR HLC2607ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5286RA-,-DCL,BAL DMPR HLC2606ZL,I.4,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5287RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5288RA-,-DCL,BAL DMPR HLB2634ZL,I.1,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5289RA-,-DCL,BAL DMPR HLB2633ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5290RA-,-DCL,BAL DMPR HLC2632ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5291RA-,-DCL,BAL DMPR HLB2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5292RA-,-DCL,BAL DMPR HLC2632ZL,I.4,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5294RA-,-DCL,BAL DMPR HLC2633ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5295RA-,-DCL,BAL DMPR HLC2607ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5296RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5297RA-,-DCL,BAL DMPR HLC2606ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5298RA-,-DCL,BAL DMPR HLC2606ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5301RA-,-DCL,BAL DMPR HLC2634ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5302RA-,-DCL,BAL DMPR HLB2624ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5303RA-,-DCL,BAL DMPR HLC2634ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5304RA-,-DCL,BAL DMPR HLC2634ZL,I.4,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5307RA-,-DCL,BAL DMPR HLC2636ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5356RA-,-DCL,BAL DMPR HLB2639ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5404RA-,-DCL,ISL DMPR 1 RECIRC LN,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DCL5404RAM,-DCL,ISL DMPR MTR HLB2631ZL,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LVF1101TB-,400,-LVF607AJC-,null,No,-
-DCL5406RA-,-DCL,ISL DMPR 2 RECIRC LN,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DCL5406RAM,-DCL,ISL DMPR MTR HLB2631ZL,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LVI1101TB-,400,-LVI441AJC-,null,No,-
-DCL5431RA-,-DCL,BAL DMPR to RECIRC PLENUM,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5501RA-,-DCL,BAL DMPR MCR,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5502RA-,-DCL,BAL DMPR MCR,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5503RA-,-DCL,BAL DMPR MCR,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5504RA-,-DCL,BAL DMPR MCR,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5505RA-,-DCL,BAL DMPR MCR,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5506RA-,-DCL,BAL DMPR MCR,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5507RA-,-DCL,BAL DMPR MCR,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5508RA-,-DCL,BAL DMPR MCR,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
