n.RepeFonct,ElemSys,n.LineRev,n.ComponentKind,n.Contrat,n.ActuKind,n.PSU_ECS1,n.PSU_Volt1,n.t_CloseReq,Type,n.ValvFailSfPositn,SGApp
-DCL6101RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6102RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6103RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6105RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6106RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6107RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6108RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6110RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6111RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6112RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6113RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6115RA-,-DCL,I.3,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6116RA-,-DCL,I.3,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6117RA-,-DCL,I.3,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6130RA-,-DCL,I.6,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL6130RAM,-DCL,I.7,Actuator,/HK2721,Isolation Damper,-LLC1201TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL6131RA-,-DCL,I.6,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL6131RAM,-DCL,I.7,Actuator,/HK2721,Isolation Damper,-LLC1201TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL6132RA-,-DCL,I.6,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL6132RAM,-DCL,I.7,Actuator,/HK2721,Isolation Damper,-LLV1201TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL6180RA-,-DCL,I.7,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL6180RAM,-DCL,I.10,Actuator,/HK2721,Isolation Damper,-LVA1201TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL6182RA-,-DCL,I.7,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL6182RAM,-DCL,I.10,Actuator,/HK2721,Isolation Damper,-LVD1201TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL6186RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL6188RA-,-DCL,I.6,Non return damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL7102RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7102RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DCL7103RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7103RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT3005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DCL7105RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7105RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DCL7106RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7106RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT3003CR-,24,-,ELECTRICAL ACTUATOR,No,-
-DCL7111RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7111RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DCL7113RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7113RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DCL7121RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7121RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DCL7123RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7123RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DCL7131RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7131RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT3005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DCL7133RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7133RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT3005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DCL7141RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7141RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT3005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DCL7143RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7143RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT3005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DCL7171RA-,-DCL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DCL7171RAM,-DCL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
